entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
ENT_DOI_0074,DoiTuongApDung,Cục Quản lý dự trữ ngoại hối nhà nước,Cục Quản lý dự trữ ngoại hối nhà nước,169221,gemini,0.88,"Cục Quản lý dự trữ ngoại hối nhà nước chủ trì, phối hợp với Vụ Chính sách tiền tệ, Vụ Quản lý ngoại hối và Vụ Dự báo, thống kê"
ENT_DOI_0075,DoiTuongApDung,Vụ Chính sách tiền tệ,Vụ Chính sách tiền tệ,169221,gemini,0.85,phối hợp với Vụ Chính sách tiền tệ
ENT_DOI_0076,DoiTuongApDung,Vụ Quản lý ngoại hối,Vụ Quản lý ngoại hối,169221,gemini,0.85,Vụ Quản lý ngoại hối
ENT_DOI_0077,DoiTuongApDung,"Vụ Dự báo, thống kê","Vụ Dự báo, thống kê",169221,gemini,0.85,"Vụ Dự báo, thống kê"
ENT_DOI_0078,DoiTuongApDung,đối tác đầu tư,đối tác đầu tư,169221,gemini,0.8,"tiêu chuẩn lựa chọn đối tác đầu tư bao gồm: tiêu chuẩn lựa chọn đối tác gửi ngoại tệ và vàng; đối tác phát hành chứng khoán, giấy tờ có giá bằng ngoại tệ; đối tác giao dịch ngoại tệ và vàng; đối tác giao dịch chứng khoán, giấy tờ có giá; đối tác lưu ký chứng khoán, giấy tờ có giá và vàng; đối tác thực hiện ủy thác đầu tư"
ENT_LIN_0079,LinhVuc,Quản Lý Ngoại Hối,Quản lý ngoại hối,169221,gemini,0.92,Lĩnh vực (Gốc): Quản lý ngoại hối
ENT_COQ_0080,CoQuan,Chính phủ,Chính phủ,95652,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
ENT_NGU_0081,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,95652,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Tấn Dũng
ENT_DOI_0082,DoiTuongApDung,Tổ chức kinh tế,Tổ chức kinh tế,95652,gemini,0.92,Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư
ENT_DOI_0083,DoiTuongApDung,Cá nhân có quốc tịch Việt Nam,Cá nhân có quốc tịch Việt Nam,95652,gemini,0.92,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài
ENT_DOI_0084,DoiTuongApDung,Các cơ quan quản lý nhà nước,Các cơ quan quản lý nhà nước,95652,gemini,0.9,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài
ENT_DOI_0085,DoiTuongApDung,Tổ chức kinh tế có vốn đầu tư nước ngoài,Tổ chức kinh tế có vốn đầu tư nước ngoài,95652,gemini,0.9,Tổ chức kinh tế có vốn đầu tư nước ngoài (thuộc đối tượng quy định tại Khoản 1 Điều 23 Luật Đầu tư)
ENT_LIN_0086,LinhVuc,Đầu Tư Gián Tiếp Ra Nước Ngoài,Đầu tư gián tiếp ra nước ngoài,95652,gemini,0.93,Nghị định quy định về đầu tư gián tiếp ra nước ngoài
ENT_LIN_0087,LinhVuc,Ngoại Hối,Ngoại hối,95652,gemini,0.85,Căn cứ Pháp lệnh Ngoại hối ngày 13 tháng 12 năm 2005
ENT_COQ_0088,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Bộ Tài chính
ENT_NGU_0089,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Đức Chi
ENT_COQ_0090,CoQuan,Chính phủ,Chính phủ,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.95,Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
ENT_DOI_0091,DoiTuongApDung,Tổ chức,Tổ chức,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.85,"Điều 2. Đối tượng bị xử phạt vi phạm hành chính 1. Tổ chức,"
ENT_DOI_0092,DoiTuongApDung,công ty đại chúng,công ty đại chúng,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.88,vi phạm quy định về kiểm toán công ty đại chúng
ENT_DOI_0093,DoiTuongApDung,tổ chức niêm yết,tổ chức niêm yết,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.88,"tổ chức niêm yết, tổ chức thực hiện chào bán chứng khoán ra công chúng"
ENT_DOI_0094,DoiTuongApDung,công ty chứng khoán,công ty chứng khoán,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.88,"công ty chứng khoán, công ty đầu tư chứng khoán"
ENT_DOI_0095,DoiTuongApDung,công ty đầu tư chứng khoán,công ty đầu tư chứng khoán,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.88,"công ty chứng khoán, công ty đầu tư chứng khoán"
ENT_DOI_0096,DoiTuongApDung,quỹ và công ty quản lý quỹ đầu tư chứng khoán,quỹ và công ty quản lý quỹ đầu tư chứng khoán,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.88,quỹ và công ty quản lý quỹ đầu tư chứng khoán
ENT_LIN_0097,LinhVuc,Chứng Khoán Và Thị Trường Chứng Khoán,chứng khoán và thị trường chứng khoán,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.95,quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
ENT_COQ_0098,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Bộ Tài chính
ENT_NGU_0099,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,30402,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Trần Xuân Hà
ENT_DOI_0100,DoiTuongApDung,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,gemini,0.92,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
ENT_DOI_0101,DoiTuongApDung,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,gemini,0.92,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
