document_id,so_ky_hieu,entity,entity_type,source,method,confidence,evidence
38128,37/2014/TT-NHNN,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",DoiTuongApDung,content_clean,gemini,0.92,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
38128,37/2014/TT-NHNN,Phát hành và kho quỹ,LinhVuc,content_clean,gemini,0.88,Lĩnh vực (Gốc): Phát hành và kho quỹ
26750,67/2011/QH12,Quốc hội,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Quốc hội
26750,67/2011/QH12,Nguyễn Phú Trọng,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Phú Trọng
26750,67/2011/QH12,Quốc hội,CoQuan,content_clean,gemini,0.95,Quốc hội ban hành Luật Kiểm toán độc lập
26750,67/2011/QH12,kiểm toán viên,DoiTuongApDung,content_clean,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,67/2011/QH12,kiểm toán viên hành nghề,DoiTuongApDung,content_clean,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,67/2011/QH12,doanh nghiệp kiểm toán,DoiTuongApDung,content_clean,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,67/2011/QH12,chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,DoiTuongApDung,content_clean,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,67/2011/QH12,đơn vị được kiểm toán,DoiTuongApDung,content_clean,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,67/2011/QH12,tổ chức nghề nghiệp về kiểm toán,DoiTuongApDung,content_clean,gemini,0.92,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,67/2011/QH12,"tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",DoiTuongApDung,content_clean,gemini,0.9,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
26750,67/2011/QH12,Kiểm toán độc lập,LinhVuc,content_clean,gemini,0.95,Luật Kiểm toán độc lập
163441,46/2023/NĐ-CP,Chính phủ,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
163441,46/2023/NĐ-CP,Lê Minh Khái,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Lê Minh Khái
163441,46/2023/NĐ-CP,Chính phủ,CoQuan,content_clean,gemini,0.95,CHÍNH PHỦ _________ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM
163441,46/2023/NĐ-CP,Doanh nghiệp bảo hiểm phi nhân thọ,DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,Doanh nghiệp bảo hiểm nhân thọ,DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,Doanh nghiệp bảo hiểm sức khỏe,DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,Doanh nghiệp tái bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,Đại lý bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,Doanh nghiệp môi giới bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,"Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,DoiTuongApDung,content_clean,gemini,0.92,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
163441,46/2023/NĐ-CP,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,DoiTuongApDung,content_clean,gemini,0.92,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam)"
163441,46/2023/NĐ-CP,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,DoiTuongApDung,content_clean,gemini,0.92,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam)"
163441,46/2023/NĐ-CP,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.92,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
163441,46/2023/NĐ-CP,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng",DoiTuongApDung,content_clean,gemini,0.92,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
163441,46/2023/NĐ-CP,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
163441,46/2023/NĐ-CP,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,DoiTuongApDung,content_clean,gemini,0.92,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
163441,46/2023/NĐ-CP,Bảo hiểm,LinhVuc,content_clean,gemini,0.95,Nghị định quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm
146468,156/2020/NĐ-CP,Chính phủ,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
146468,156/2020/NĐ-CP,Nguyễn Xuân Phúc,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Xuân Phúc
146468,156/2020/NĐ-CP,Chính phủ,CoQuan,content_clean,gemini,0.95,CHÍNH PHỦ ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
146468,156/2020/NĐ-CP,Bộ Tài chính,CoQuan,content_clean,gemini,0.85,Theo đề nghị của Bộ trưởng Bộ Tài chính.
146468,156/2020/NĐ-CP,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",DoiTuongApDung,content_clean,gemini,0.92,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán"
146468,156/2020/NĐ-CP,Công ty đại chúng,DoiTuongApDung,content_clean,gemini,0.9,a) Công ty đại chúng;
146468,156/2020/NĐ-CP,Doanh nghiệp nhà nước,DoiTuongApDung,content_clean,gemini,0.9,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
146468,156/2020/NĐ-CP,Tổ chức phát hành,DoiTuongApDung,content_clean,gemini,0.9,c) Tổ chức phát hành;
146468,156/2020/NĐ-CP,"Tổ chức niêm yết, tổ chức đăng ký giao dịch",DoiTuongApDung,content_clean,gemini,0.9,"d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;"
146468,156/2020/NĐ-CP,Tổ chức kiểm toán được chấp thuận,DoiTuongApDung,content_clean,gemini,0.9,đ) Tổ chức kiểm toán được chấp thuận;
146468,156/2020/NĐ-CP,"Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán",DoiTuongApDung,content_clean,gemini,0.9,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
146468,156/2020/NĐ-CP,Ngân hàng thương mại,DoiTuongApDung,content_clean,gemini,0.88,"k) Ngân hàng thương mại, chi nhán"
146468,156/2020/NĐ-CP,Chứng khoán và thị trường chứng khoán,LinhVuc,content_clean,gemini,0.95,Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
168220,27/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Ngân hàng Nhà nước Việt Nam
168220,27/2024/TT-NHNN,Đào Minh Tú,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Đào Minh Tú
168220,27/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM --------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
168220,27/2024/TT-NHNN,Đào Minh Tú,NguoiKy,content_clean,gemini,0.9,Người ký (Gốc): Đào Minh Tú
168220,27/2024/TT-NHNN,Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,gemini,0.95,1. Ngân hàng hợp tác xã.
168220,27/2024/TT-NHNN,Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,gemini,0.95,2. Quỹ tín dụng nhân dân.
168220,27/2024/TT-NHNN,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",DoiTuongApDung,content_clean,gemini,0.92,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
168220,27/2024/TT-NHNN,"Thanh tra, giám sát ngân hàng",LinhVuc,content_clean,gemini,0.9,"Lĩnh vực (Gốc): Thanh tra, giám sát ngân hàng"
133858,05/2019/NĐ-CP,Chính phủ,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
133858,05/2019/NĐ-CP,Nguyễn Xuân Phúc,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Xuân Phúc
133858,05/2019/NĐ-CP,Chính phủ,CoQuan,content_clean,gemini,0.95,Chính phủ ban hành Nghị định về kiểm toán nội bộ.
133858,05/2019/NĐ-CP,Bộ Tài chính,CoQuan,content_clean,gemini,0.92,Theo đề nghị của Bộ trưởng Bộ Tài chính;
133858,05/2019/NĐ-CP,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,0.9,Người ký (Gốc): Nguyễn Xuân Phúc
133858,05/2019/NĐ-CP,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",DoiTuongApDung,content_clean,gemini,0.93,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,05/2019/NĐ-CP,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",DoiTuongApDung,content_clean,gemini,0.93,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
133858,05/2019/NĐ-CP,Các đơn vị sự nghiệp công lập,DoiTuongApDung,content_clean,gemini,0.93,c) Các đơn vị sự nghiệp công lập;
133858,05/2019/NĐ-CP,Các doanh nghiệp,DoiTuongApDung,content_clean,gemini,0.93,d) Các doanh nghiệp;
133858,05/2019/NĐ-CP,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,0.88,Công tác kiểm toán nội bộ của tổ chức tín dụng
133858,05/2019/NĐ-CP,Kiểm toán nội bộ,LinhVuc,content_clean,gemini,0.92,NGHỊ ĐỊNH Về kiểm toán nội bộ
169221,43/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Ngân hàng Nhà nước Việt Nam
169221,43/2024/TT-NHNN,Phạm Thanh Hà,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Phạm Thanh Hà
169221,43/2024/TT-NHNN,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
169221,43/2024/TT-NHNN,Phạm Thanh Hà,NguoiKy,content_clean,gemini,0.9,Người ký (Gốc): Phạm Thanh Hà
169221,43/2024/TT-NHNN,Cục Quản lý dự trữ ngoại hối nhà nước,DoiTuongApDung,content_clean,gemini,0.88,"Cục Quản lý dự trữ ngoại hối nhà nước chủ trì, phối hợp với Vụ Chính sách tiền tệ, Vụ Quản lý ngoại hối và Vụ Dự báo, thống kê"
169221,43/2024/TT-NHNN,Vụ Chính sách tiền tệ,DoiTuongApDung,content_clean,gemini,0.85,phối hợp với Vụ Chính sách tiền tệ
169221,43/2024/TT-NHNN,Vụ Quản lý ngoại hối,DoiTuongApDung,content_clean,gemini,0.85,Vụ Quản lý ngoại hối
169221,43/2024/TT-NHNN,"Vụ Dự báo, thống kê",DoiTuongApDung,content_clean,gemini,0.85,"Vụ Dự báo, thống kê"
169221,43/2024/TT-NHNN,đối tác đầu tư,DoiTuongApDung,content_clean,gemini,0.8,"tiêu chuẩn lựa chọn đối tác đầu tư bao gồm: tiêu chuẩn lựa chọn đối tác gửi ngoại tệ và vàng; đối tác phát hành chứng khoán, giấy tờ có giá bằng ngoại tệ; đối tác giao dịch ngoại tệ và vàng; đối tác giao dịch chứng khoán, giấy tờ có giá; đối tác lưu ký chứng khoán, giấy tờ có giá và vàng; đối tác thực hiện ủy thác đầu tư"
169221,43/2024/TT-NHNN,Quản lý ngoại hối,LinhVuc,content_clean,gemini,0.92,Lĩnh vực (Gốc): Quản lý ngoại hối
95652,135/2015/NĐ-CP,Chính phủ,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Chính phủ
95652,135/2015/NĐ-CP,Nguyễn Tấn Dũng,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Tấn Dũng
95652,135/2015/NĐ-CP,Chính phủ,CoQuan,content_clean,gemini,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
95652,135/2015/NĐ-CP,Nguyễn Tấn Dũng,NguoiKy,content_clean,gemini,0.9,Người ký (Gốc): Nguyễn Tấn Dũng
95652,135/2015/NĐ-CP,Tổ chức kinh tế,DoiTuongApDung,content_clean,gemini,0.92,Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư
95652,135/2015/NĐ-CP,Cá nhân có quốc tịch Việt Nam,DoiTuongApDung,content_clean,gemini,0.92,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài
95652,135/2015/NĐ-CP,Các cơ quan quản lý nhà nước,DoiTuongApDung,content_clean,gemini,0.9,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài
95652,135/2015/NĐ-CP,Tổ chức kinh tế có vốn đầu tư nước ngoài,DoiTuongApDung,content_clean,gemini,0.9,Tổ chức kinh tế có vốn đầu tư nước ngoài (thuộc đối tượng quy định tại Khoản 1 Điều 23 Luật Đầu tư)
95652,135/2015/NĐ-CP,Đầu tư gián tiếp ra nước ngoài,LinhVuc,content_clean,gemini,0.93,Nghị định quy định về đầu tư gián tiếp ra nước ngoài
95652,135/2015/NĐ-CP,Ngoại hối,LinhVuc,content_clean,gemini,0.85,Căn cứ Pháp lệnh Ngoại hối ngày 13 tháng 12 năm 2005
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,Bộ Tài chính,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Bộ Tài chính
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,Nguyễn Đức Chi,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Nguyễn Đức Chi
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,Chính phủ,CoQuan,content_clean,gemini,0.95,Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,Bộ Tài chính,CoQuan,content_clean,gemini,0.9,Theo đề nghị của Bộ trưởng Bộ Tài chính;
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,Tổ chức,DoiTuongApDung,content_clean,gemini,0.85,"Điều 2. Đối tượng bị xử phạt vi phạm hành chính 1. Tổ chức,"
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,công ty đại chúng,DoiTuongApDung,content_clean,gemini,0.88,vi phạm quy định về kiểm toán công ty đại chúng
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,tổ chức niêm yết,DoiTuongApDung,content_clean,gemini,0.88,"tổ chức niêm yết, tổ chức thực hiện chào bán chứng khoán ra công chúng"
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,công ty chứng khoán,DoiTuongApDung,content_clean,gemini,0.88,"công ty chứng khoán, công ty đầu tư chứng khoán"
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,công ty đầu tư chứng khoán,DoiTuongApDung,content_clean,gemini,0.88,"công ty chứng khoán, công ty đầu tư chứng khoán"
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,quỹ và công ty quản lý quỹ đầu tư chứng khoán,DoiTuongApDung,content_clean,gemini,0.88,quỹ và công ty quản lý quỹ đầu tư chứng khoán
f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,chứng khoán và thị trường chứng khoán,LinhVuc,content_clean,gemini,0.95,quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
30402,202/2012/TT-BTC,Bộ Tài chính,CoQuan,metadata,metadata_rule,0.98,Từ cột co_quan_ban_hanh của metadata: Bộ Tài chính
30402,202/2012/TT-BTC,Trần Xuân Hà,NguoiKy,metadata,metadata_rule,0.98,Từ cột nguoi_ky của metadata: Trần Xuân Hà
30402,202/2012/TT-BTC,Bộ Tài chính,CoQuan,content_clean,gemini,0.95,"Bộ trưởng Bộ Tài chính ban hành Thông tư hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
30402,202/2012/TT-BTC,Trần Xuân Hà,NguoiKy,content_clean,gemini,0.9,Người ký (Gốc): Trần Xuân Hà
30402,202/2012/TT-BTC,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.92,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
30402,202/2012/TT-BTC,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,gemini,0.92,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
